topic_id,theme
696,International Affairs — Russia & Ukraine Conflict
697,"Race, Identity, DEI & Social Justice"
698,Harris–Walz Campaign
700,"Congress, Senate & Lawmakers"
701,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
702,"Media, Pundits, Journalists & Commentary"
703,Entertainment & Celebrities
704,"DOJ, FBI, Courts & Legal (SCOTUS, Immunity, Indictments)"
705,Trump & Trump Family (core)
706,Sports
707,Trump & Trump Family (core)
708,Trump & Trump Family (core)
709,Trump & Trump Family (core)
710,"Middle East: Israel–Gaza, Iran & Region"
711,Trump & Trump Family (core)
712,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
713,International Affairs — Russia & Ukraine Conflict
714,Other / Low-Signal Clusters (mixed or unclear content)
715,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
716,Other / Low-Signal Clusters (mixed or unclear content)
717,Other / Low-Signal Clusters (mixed or unclear content)
718,Immigration & Border
719,Biden Administration & Age/Cognitive Fitness
720,Harris–Walz Campaign
721,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
722,Biden Administration & Age/Cognitive Fitness
723,"2024 Election, Polls, Debates & Betting Markets"
724,Other / Low-Signal Clusters (mixed or unclear content)
725,"Media, Pundits, Journalists & Commentary"
726,Trump & Trump Family (core)
727,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
728,Other / Low-Signal Clusters (mixed or unclear content)
729,"Crypto, Bitcoin & DOGE"
730,"Middle East: Israel–Gaza, Iran & Region"
731,"Economy, Tax, Tariffs & Business"
732,Other / Low-Signal Clusters (mixed or unclear content)
733,Trump & Trump Family (core)
734,Trump & Trump Family (core)
735,Other / Low-Signal Clusters (mixed or unclear content)
736,"Tech, Social Media & Elon Musk"
737,"Congress, Senate & Lawmakers"
738,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
739,"2024 Election, Polls, Debates & Betting Markets"
740,"Race, Identity, DEI & Social Justice"
741,"Media, Pundits, Journalists & Commentary"
742,"2024 Election, Polls, Debates & Betting Markets"
743,Trump & Trump Family (core)
744,"International Affairs — UK, Ireland & Farage/Labour"
745,"2024 Election, Polls, Debates & Betting Markets"
746,"Military, Veterans & Foreign Wars (Afghanistan Withdrawal)"
747,"Media, Pundits, Journalists & Commentary"
748,Trump & Trump Family (core)
749,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
750,Religion & Faith
752,Trump & Trump Family (core)
753,"2024 Election, Polls, Debates & Betting Markets"
754,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
755,Other / Low-Signal Clusters (mixed or unclear content)
756,"Media, Pundits, Journalists & Commentary"
757,"Media, Pundits, Journalists & Commentary"
758,Biden Administration & Age/Cognitive Fitness
759,International Affairs — Russia & Ukraine Conflict
760,Other / Low-Signal Clusters (mixed or unclear content)
761,Trump & Trump Family (core)
762,"Race, Identity, DEI & Social Justice"
763,Entertainment & Celebrities
764,Other / Low-Signal Clusters (mixed or unclear content)
765,"2024 Election, Polls, Debates & Betting Markets"
766,Other / Low-Signal Clusters (mixed or unclear content)
767,"2024 Election, Polls, Debates & Betting Markets"
768,Trump & Trump Family (core)
769,Harris–Walz Campaign
770,Other / Low-Signal Clusters (mixed or unclear content)
771,Harris–Walz Campaign
772,"Guns, Crime & Violence"
773,"Congress, Senate & Lawmakers"
774,"2024 Election, Polls, Debates & Betting Markets"
775,Trump & Trump Family (core)
776,"Crypto, Bitcoin & DOGE"
777,"Middle East: Israel–Gaza, Iran & Region"
779,Trump & Trump Family (core)
780,"DOJ, FBI, Courts & Legal (SCOTUS, Immunity, Indictments)"
781,Other / Low-Signal Clusters (mixed or unclear content)
782,"Media, Pundits, Journalists & Commentary"
783,Trump & Trump Family (core)
784,International Affairs — Russia & Ukraine Conflict
785,Other / Low-Signal Clusters (mixed or unclear content)
786,"Congress, Senate & Lawmakers"
787,"2024 Election, Polls, Debates & Betting Markets"
788,Trump & Trump Family (core)
789,"2024 Election, Polls, Debates & Betting Markets"
790,"2024 Election, Polls, Debates & Betting Markets"
791,Trump & Trump Family (core)
792,International Affairs — Russia & Ukraine Conflict
793,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
794,International Affairs — Russia & Ukraine Conflict
795,Other / Low-Signal Clusters (mixed or unclear content)
796,International Affairs — Russia & Ukraine Conflict
797,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
798,"DOJ, FBI, Courts & Legal (SCOTUS, Immunity, Indictments)"
799,Trump & Trump Family (core)
800,Other / Low-Signal Clusters (mixed or unclear content)
801,"International Affairs — Other (Asia, Europe, Global)"
802,Trump & Trump Family (core)
803,"Media, Pundits, Journalists & Commentary"
804,"Congress, Senate & Lawmakers"
805,Biden Administration & Age/Cognitive Fitness
806,"International Affairs — UK, Ireland & Farage/Labour"
807,Other / Low-Signal Clusters (mixed or unclear content)
808,"Middle East: Israel–Gaza, Iran & Region"
809,Harris–Walz Campaign
810,Trump & Trump Family (core)
811,"2024 Election, Polls, Debates & Betting Markets"
812,"Congress, Senate & Lawmakers"
813,Other / Low-Signal Clusters (mixed or unclear content)
814,Other / Low-Signal Clusters (mixed or unclear content)
815,"2024 Election, Polls, Debates & Betting Markets"
816,"Congress, Senate & Lawmakers"
817,Trump & Trump Family (core)
818,Religion & Faith
819,International Affairs — Canada
820,"Guns, Crime & Violence"
821,"Media, Pundits, Journalists & Commentary"
822,Trump & Trump Family (core)
823,Trump & Trump Family (core)
824,Other / Low-Signal Clusters (mixed or unclear content)
825,"Middle East: Israel–Gaza, Iran & Region"
826,"International Affairs — UK, Ireland & Farage/Labour"
827,Trump & Trump Family (core)
828,"2024 Election, Polls, Debates & Betting Markets"
829,Other / Low-Signal Clusters (mixed or unclear content)
830,Trump & Trump Family (core)
831,"Media, Pundits, Journalists & Commentary"
832,Trump & Trump Family (core)
833,Trump & Trump Family (core)
834,Immigration & Border
835,"Media, Pundits, Journalists & Commentary"
836,Other / Low-Signal Clusters (mixed or unclear content)
837,"2024 Election, Polls, Debates & Betting Markets"
838,Harris–Walz Campaign
839,Trump & Trump Family (core)
840,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
841,"Media, Pundits, Journalists & Commentary"
842,Trump & Trump Family (core)
843,Other / Low-Signal Clusters (mixed or unclear content)
844,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
845,"International Affairs — UK, Ireland & Farage/Labour"
846,Trump & Trump Family (core)
847,"2024 Election, Polls, Debates & Betting Markets"
848,Sports
849,"2024 Election, Polls, Debates & Betting Markets"
850,Trump Assassination Attempt(s)
851,International Affairs — Russia & Ukraine Conflict
852,Trump & Trump Family (core)
853,Other / Low-Signal Clusters (mixed or unclear content)
854,Other / Low-Signal Clusters (mixed or unclear content)
855,Other / Low-Signal Clusters (mixed or unclear content)
856,Trump & Trump Family (core)
857,Vance & GOP VP Ticket
858,"Crypto, Bitcoin & DOGE"
859,"Congress, Senate & Lawmakers"
860,Trump & Trump Family (core)
861,International Affairs — Canada
862,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
863,"2024 Election, Polls, Debates & Betting Markets"
864,International Affairs — Russia & Ukraine Conflict
865,"Race, Identity, DEI & Social Justice"
866,"Media, Pundits, Journalists & Commentary"
867,Trump & Trump Family (core)
868,"2024 Election, Polls, Debates & Betting Markets"
869,"Healthcare, Vaccines & Public Health"
870,Trump Assassination Attempt(s)
871,"2024 Election, Polls, Debates & Betting Markets"
872,Biden Administration & Age/Cognitive Fitness
873,"2024 Election, Polls, Debates & Betting Markets"
874,Other / Low-Signal Clusters (mixed or unclear content)
875,"Media, Pundits, Journalists & Commentary"
876,"2024 Election, Polls, Debates & Betting Markets"
877,Harris–Walz Campaign
878,Trump & Trump Family (core)
879,International Affairs — Canada
880,"2024 Election, Polls, Debates & Betting Markets"
881,Other / Low-Signal Clusters (mixed or unclear content)
882,Biden Administration & Age/Cognitive Fitness
883,Other / Low-Signal Clusters (mixed or unclear content)
884,"Tech, Social Media & Elon Musk"
885,Trump & Trump Family (core)
886,Other / Low-Signal Clusters (mixed or unclear content)
887,"Media, Pundits, Journalists & Commentary"
888,Other / Low-Signal Clusters (mixed or unclear content)
889,Trump & Trump Family (core)
890,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
891,Other / Low-Signal Clusters (mixed or unclear content)
892,Other / Low-Signal Clusters (mixed or unclear content)
893,"2024 Election, Polls, Debates & Betting Markets"
894,Biden Administration & Age/Cognitive Fitness
895,"Government Officials & Cabinet (RFK, DeSantis, Newsom, etc.)"
896,Other / Low-Signal Clusters (mixed or unclear content)
897,Harris–Walz Campaign
898,Harris–Walz Campaign
899,Other / Low-Signal Clusters (mixed or unclear content)
900,"Congress, Senate & Lawmakers"
901,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
902,Trump & Trump Family (core)
903,Other / Low-Signal Clusters (mixed or unclear content)
904,Trump & Trump Family (core)
905,Immigration & Border
906,"Race, Identity, DEI & Social Justice"
907,"Media, Pundits, Journalists & Commentary"
908,"Economy, Tax, Tariffs & Business"
909,Entertainment & Celebrities
910,Other / Low-Signal Clusters (mixed or unclear content)
911,Other / Low-Signal Clusters (mixed or unclear content)
912,Harris–Walz Campaign
913,"Congress, Senate & Lawmakers"
914,"2024 Election, Polls, Debates & Betting Markets"
915,"Congress, Senate & Lawmakers"
916,"DOJ, FBI, Courts & Legal (SCOTUS, Immunity, Indictments)"
917,Harris–Walz Campaign
918,Trump & Trump Family (core)
919,Other / Low-Signal Clusters (mixed or unclear content)
920,Trump & Trump Family (core)
921,"Crypto, Bitcoin & DOGE"
922,"Congress, Senate & Lawmakers"
923,Harris–Walz Campaign
924,"2024 Election, Polls, Debates & Betting Markets"
925,Other / Low-Signal Clusters (mixed or unclear content)
926,International Affairs — Russia & Ukraine Conflict
927,"2024 Election, Polls, Debates & Betting Markets"
928,"2024 Election, Polls, Debates & Betting Markets"
929,Trump & Trump Family (core)
930,Trump & Trump Family (core)
931,Other / Low-Signal Clusters (mixed or unclear content)
933,"Race, Identity, DEI & Social Justice"
934,Trump & Trump Family (core)
935,International Affairs — Russia & Ukraine Conflict
936,International Affairs — Russia & Ukraine Conflict
937,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
938,Trump & Trump Family (core)
939,Trump & Trump Family (core)
940,"Congress, Senate & Lawmakers"
941,"Media, Pundits, Journalists & Commentary"
942,International Affairs — Russia & Ukraine Conflict
943,Trump & Trump Family (core)
944,Biden Administration & Age/Cognitive Fitness
945,"Media, Pundits, Journalists & Commentary"
946,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
947,"2024 Election, Polls, Debates & Betting Markets"
948,"Media, Pundits, Journalists & Commentary"
949,Trump & Trump Family (core)
950,"Media, Pundits, Journalists & Commentary"
951,Other / Low-Signal Clusters (mixed or unclear content)
952,"Crypto, Bitcoin & DOGE"
953,"Economy, Tax, Tariffs & Business"
954,"2024 Election, Polls, Debates & Betting Markets"
955,Trump & Trump Family (core)
956,"International Affairs — UK, Ireland & Farage/Labour"
957,"2024 Election, Polls, Debates & Betting Markets"
958,"Crypto, Bitcoin & DOGE"
959,Other / Low-Signal Clusters (mixed or unclear content)
960,Other / Low-Signal Clusters (mixed or unclear content)
961,Trump & Trump Family (core)
962,"DOJ, FBI, Courts & Legal (SCOTUS, Immunity, Indictments)"
963,"2024 Election, Polls, Debates & Betting Markets"
964,"DOJ, FBI, Courts & Legal (SCOTUS, Immunity, Indictments)"
965,"2024 Election, Polls, Debates & Betting Markets"
966,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
967,"Crypto, Bitcoin & DOGE"
968,International Affairs — Russia & Ukraine Conflict
969,"Economy, Tax, Tariffs & Business"
970,Trump & Trump Family (core)
972,Harris–Walz Campaign
973,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
974,Trump & Trump Family (core)
975,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
976,Other / Low-Signal Clusters (mixed or unclear content)
977,"2024 Election, Polls, Debates & Betting Markets"
978,International Affairs — Russia & Ukraine Conflict
979,Trump & Trump Family (core)
980,Other / Low-Signal Clusters (mixed or unclear content)
981,"International Affairs — UK, Ireland & Farage/Labour"
982,International Affairs — Russia & Ukraine Conflict
983,Harris–Walz Campaign
984,Trump & Trump Family (core)
985,"Congress, Senate & Lawmakers"
986,Trump & Trump Family (core)
987,"Congress, Senate & Lawmakers"
988,Harris–Walz Campaign
989,"Crypto, Bitcoin & DOGE"
990,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
991,Other / Low-Signal Clusters (mixed or unclear content)
992,"2024 Election, Polls, Debates & Betting Markets"
993,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
994,Other / Low-Signal Clusters (mixed or unclear content)
995,Trump & Trump Family (core)
996,"2024 Election, Polls, Debates & Betting Markets"
998,Trump & Trump Family (core)
999,"International Affairs — Other (Asia, Europe, Global)"
1000,Other / Low-Signal Clusters (mixed or unclear content)
1001,Entertainment & Celebrities
1002,Trump & Trump Family (core)
1003,"Economy, Tax, Tariffs & Business"
1004,"2024 Election, Polls, Debates & Betting Markets"
1005,"Crypto, Bitcoin & DOGE"
1006,"Media, Pundits, Journalists & Commentary"
1007,"DOJ, FBI, Courts & Legal (SCOTUS, Immunity, Indictments)"
1008,"Media, Pundits, Journalists & Commentary"
1009,"2024 Election, Polls, Debates & Betting Markets"
1010,Other / Low-Signal Clusters (mixed or unclear content)
1011,Natural Disasters & FEMA Response
1012,Entertainment & Celebrities
1013,"2024 Election, Polls, Debates & Betting Markets"
1014,Harris–Walz Campaign
1015,"2024 Election, Polls, Debates & Betting Markets"
1016,"Middle East: Israel–Gaza, Iran & Region"
1017,"International Affairs — UK, Ireland & Farage/Labour"
1018,"Media, Pundits, Journalists & Commentary"
1019,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
1020,Other / Low-Signal Clusters (mixed or unclear content)
1021,"2024 Election, Polls, Debates & Betting Markets"
1022,"International Affairs — UK, Ireland & Farage/Labour"
1023,Other / Low-Signal Clusters (mixed or unclear content)
1024,Other / Low-Signal Clusters (mixed or unclear content)
1025,Trump & Trump Family (core)
1026,"Media, Pundits, Journalists & Commentary"
1027,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
1028,"Middle East: Israel–Gaza, Iran & Region"
1029,"Crypto, Bitcoin & DOGE"
1030,Biden Administration & Age/Cognitive Fitness
1031,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
1032,"2024 Election, Polls, Debates & Betting Markets"
1033,Trump & Trump Family (core)
1034,Trump & Trump Family (core)
1035,Other / Low-Signal Clusters (mixed or unclear content)
1036,"Crypto, Bitcoin & DOGE"
1037,International Affairs — Australia & NZ
1038,"Congress, Senate & Lawmakers"
1039,Natural Disasters & FEMA Response
1040,Trump & Trump Family (core)
1041,Other / Low-Signal Clusters (mixed or unclear content)
1042,Other / Low-Signal Clusters (mixed or unclear content)
1043,Other / Low-Signal Clusters (mixed or unclear content)
1044,International Affairs — Canada
1045,Trump & Trump Family (core)
1046,Trump & Trump Family (core)
1047,Other / Low-Signal Clusters (mixed or unclear content)
1048,Trump & Trump Family (core)
1049,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
1050,Other / Low-Signal Clusters (mixed or unclear content)
1051,Trump & Trump Family (core)
1052,International Affairs — Canada
1053,"Tech, Social Media & Elon Musk"
1054,"2024 Election, Polls, Debates & Betting Markets"
1055,International Affairs — Russia & Ukraine Conflict
1056,Trump & Trump Family (core)
1057,Other / Low-Signal Clusters (mixed or unclear content)
1058,Trump & Trump Family (core)
1059,Other / Low-Signal Clusters (mixed or unclear content)
1060,"Media, Pundits, Journalists & Commentary"
1061,Trump & Trump Family (core)
1062,"2024 Election, Polls, Debates & Betting Markets"
1063,"Media, Pundits, Journalists & Commentary"
1064,"Media, Pundits, Journalists & Commentary"
1065,Other / Low-Signal Clusters (mixed or unclear content)
1066,"2024 Election, Polls, Debates & Betting Markets"
1067,Natural Disasters & FEMA Response
1068,"2024 Election, Polls, Debates & Betting Markets"
1069,Harris–Walz Campaign
1070,"Media, Pundits, Journalists & Commentary"
1071,Trump & Trump Family (core)
1072,Vance & GOP VP Ticket
1073,"Congress, Senate & Lawmakers"
1074,Other / Low-Signal Clusters (mixed or unclear content)
1075,"International Affairs — Other (Asia, Europe, Global)"
1076,Other / Low-Signal Clusters (mixed or unclear content)
1077,International Affairs — Canada
1078,Trump & Trump Family (core)
1079,Other / Low-Signal Clusters (mixed or unclear content)
1080,"2024 Election, Polls, Debates & Betting Markets"
1081,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
1082,Trump & Trump Family (core)
1083,"Crypto, Bitcoin & DOGE"
1084,"Congress, Senate & Lawmakers"
1085,Other / Low-Signal Clusters (mixed or unclear content)
1086,Trump & Trump Family (core)
1087,Other / Low-Signal Clusters (mixed or unclear content)
1088,Other / Low-Signal Clusters (mixed or unclear content)
1089,Other / Low-Signal Clusters (mixed or unclear content)
1090,Trump & Trump Family (core)
1091,Trump & Trump Family (core)
1092,Trump & Trump Family (core)
1093,International Affairs — Russia & Ukraine Conflict
1094,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
1095,Other / Low-Signal Clusters (mixed or unclear content)
1096,Trump & Trump Family (core)
1097,"2024 Election, Polls, Debates & Betting Markets"
1098,"Congress, Senate & Lawmakers"
1099,"Healthcare, Vaccines & Public Health"
1100,Trump & Trump Family (core)
1101,Other / Low-Signal Clusters (mixed or unclear content)
1102,"2024 Election, Polls, Debates & Betting Markets"
1103,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
1104,Harris–Walz Campaign
1105,Harris–Walz Campaign
1106,Trump & Trump Family (core)
1107,"Crypto, Bitcoin & DOGE"
1108,Trump & Trump Family (core)
1109,"Media, Pundits, Journalists & Commentary"
1110,Entertainment & Celebrities
1111,"2024 Election, Polls, Debates & Betting Markets"
1112,International Affairs — Russia & Ukraine Conflict
1113,Other / Low-Signal Clusters (mixed or unclear content)
1114,Trump & Trump Family (core)
1115,"Tech, Social Media & Elon Musk"
1116,"2024 Election, Polls, Debates & Betting Markets"
1117,"2024 Election, Polls, Debates & Betting Markets"
1118,Other / Low-Signal Clusters (mixed or unclear content)
1119,Other / Low-Signal Clusters (mixed or unclear content)
1120,"2024 Election, Polls, Debates & Betting Markets"
1121,"Congress, Senate & Lawmakers"
1122,Trump & Trump Family (core)
1123,Trump & Trump Family (core)
1124,"2024 Election, Polls, Debates & Betting Markets"
1125,"2024 Election, Polls, Debates & Betting Markets"
1126,Other / Low-Signal Clusters (mixed or unclear content)
1127,Immigration & Border
1128,Other / Low-Signal Clusters (mixed or unclear content)
1129,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
1130,"Congress, Senate & Lawmakers"
1131,Trump & Trump Family (core)
1132,Trump & Trump Family (core)
1133,Other / Low-Signal Clusters (mixed or unclear content)
1134,Other / Low-Signal Clusters (mixed or unclear content)
1135,"Healthcare, Vaccines & Public Health"
1136,Trump & Trump Family (core)
1137,Trump & Trump Family (core)
1138,Other / Low-Signal Clusters (mixed or unclear content)
1139,Other / Low-Signal Clusters (mixed or unclear content)
1140,"Media, Pundits, Journalists & Commentary"
1141,Biden Administration & Age/Cognitive Fitness
1142,"2024 Election, Polls, Debates & Betting Markets"
1143,Harris–Walz Campaign
1144,Other / Low-Signal Clusters (mixed or unclear content)
1145,"Middle East: Israel–Gaza, Iran & Region"
1146,Religion & Faith
1147,Trump & Trump Family (core)
1148,"Tech, Social Media & Elon Musk"
1149,Trump & Trump Family (core)
1150,Trump & Trump Family (core)
1151,Trump & Trump Family (core)
1152,"2024 Election, Polls, Debates & Betting Markets"
1153,Harris–Walz Campaign
1154,"Congress, Senate & Lawmakers"
1155,"Congress, Senate & Lawmakers"
1156,"2024 Election, Polls, Debates & Betting Markets"
1157,Trump & Trump Family (core)
1158,Other / Low-Signal Clusters (mixed or unclear content)
1159,"DOJ, FBI, Courts & Legal (SCOTUS, Immunity, Indictments)"
1160,Other / Low-Signal Clusters (mixed or unclear content)
1161,Other / Low-Signal Clusters (mixed or unclear content)
1162,"International Affairs — Other (Asia, Europe, Global)"
1163,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
1164,Other / Low-Signal Clusters (mixed or unclear content)
1165,"2024 Election, Polls, Debates & Betting Markets"
1166,Other / Low-Signal Clusters (mixed or unclear content)
1167,Religion & Faith
1168,Other / Low-Signal Clusters (mixed or unclear content)
1169,"Tech, Social Media & Elon Musk"
1170,"Media, Pundits, Journalists & Commentary"
1171,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
1172,"2024 Election, Polls, Debates & Betting Markets"
1173,Trump & Trump Family (core)
1174,"Government Officials & Cabinet (RFK, DeSantis, Newsom, etc.)"
1175,Other / Low-Signal Clusters (mixed or unclear content)
1176,"2024 Election, Polls, Debates & Betting Markets"
1177,Other / Low-Signal Clusters (mixed or unclear content)
1178,Trump & Trump Family (core)
1179,Sports
1180,"2024 Election, Polls, Debates & Betting Markets"
1181,Trump & Trump Family (core)
1182,Trump & Trump Family (core)
1183,"2024 Election, Polls, Debates & Betting Markets"
1184,Harris–Walz Campaign
1185,"Congress, Senate & Lawmakers"
1186,Religion & Faith
1187,Trump & Trump Family (core)
1188,"Crypto, Bitcoin & DOGE"
1189,"Congress, Senate & Lawmakers"
1190,"Race, Identity, DEI & Social Justice"
1191,Trump & Trump Family (core)
1192,"2024 Election, Polls, Debates & Betting Markets"
1193,Trump & Trump Family (core)
1194,Trump & Trump Family (core)
1195,"Media, Pundits, Journalists & Commentary"
1196,Immigration & Border
1197,Trump & Trump Family (core)
1198,"Guns, Crime & Violence"
1199,"2024 Election, Polls, Debates & Betting Markets"
1200,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
1201,"2024 Election, Polls, Debates & Betting Markets"
1202,"Media, Pundits, Journalists & Commentary"
1203,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
1204,"2024 Election, Polls, Debates & Betting Markets"
1205,Harris–Walz Campaign
1206,Other / Low-Signal Clusters (mixed or unclear content)
1207,Other / Low-Signal Clusters (mixed or unclear content)
1208,International Affairs — Canada
1209,Trump & Trump Family (core)
1210,State & Local Politics
1211,"Crypto, Bitcoin & DOGE"
1212,International Affairs — Russia & Ukraine Conflict
1213,International Affairs — Russia & Ukraine Conflict
1214,"Media, Pundits, Journalists & Commentary"
1215,Other / Low-Signal Clusters (mixed or unclear content)
1216,Harris–Walz Campaign
1217,Other / Low-Signal Clusters (mixed or unclear content)
1218,Trump & Trump Family (core)
1219,Other / Low-Signal Clusters (mixed or unclear content)
1220,"2024 Election, Polls, Debates & Betting Markets"
1221,Other / Low-Signal Clusters (mixed or unclear content)
1222,International Affairs — Russia & Ukraine Conflict
1223,Religion & Faith
1224,"2024 Election, Polls, Debates & Betting Markets"
1225,Trump & Trump Family (core)
1226,Trump & Trump Family (core)
1227,"Race, Identity, DEI & Social Justice"
1228,Trump & Trump Family (core)
1229,Harris–Walz Campaign
1230,"2024 Election, Polls, Debates & Betting Markets"
1231,Other / Low-Signal Clusters (mixed or unclear content)
1232,"Congress, Senate & Lawmakers"
1233,Trump & Trump Family (core)
1234,International Affairs — Australia & NZ
1235,Trump & Trump Family (core)
1236,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
1237,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
1238,"Congress, Senate & Lawmakers"
1239,"Media, Pundits, Journalists & Commentary"
1240,Trump & Trump Family (core)
1241,"Media, Pundits, Journalists & Commentary"
1242,"2024 Election, Polls, Debates & Betting Markets"
1243,"Media, Pundits, Journalists & Commentary"
1244,Trump & Trump Family (core)
1245,International Affairs — Canada
1246,Religion & Faith
1247,Other / Low-Signal Clusters (mixed or unclear content)
1248,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
1249,Other / Low-Signal Clusters (mixed or unclear content)
1250,Trump & Trump Family (core)
1251,International Affairs — Russia & Ukraine Conflict
1252,Other / Low-Signal Clusters (mixed or unclear content)
1253,"Media, Pundits, Journalists & Commentary"
1254,"Healthcare, Vaccines & Public Health"
1255,Trump Assassination Attempt(s)
1256,Biden Administration & Age/Cognitive Fitness
1257,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
1258,Trump & Trump Family (core)
1259,Other / Low-Signal Clusters (mixed or unclear content)
1260,Immigration & Border
1261,International Affairs — Canada
1262,"2024 Election, Polls, Debates & Betting Markets"
1263,"Congress, Senate & Lawmakers"
1264,"International Affairs — UK, Ireland & Farage/Labour"
1265,Trump & Trump Family (core)
1266,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
1267,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
1268,Trump & Trump Family (core)
1269,"Middle East: Israel–Gaza, Iran & Region"
1270,"DOJ, FBI, Courts & Legal (SCOTUS, Immunity, Indictments)"
1271,"Middle East: Israel–Gaza, Iran & Region"
1272,Trump & Trump Family (core)
1273,"2024 Election, Polls, Debates & Betting Markets"
1274,"Middle East: Israel–Gaza, Iran & Region"
1275,"Congress, Senate & Lawmakers"
1276,"2024 Election, Polls, Debates & Betting Markets"
1277,Religion & Faith
1278,Trump & Trump Family (core)
1279,Trump & Trump Family (core)
1280,"2024 Election, Polls, Debates & Betting Markets"
1281,"2024 Election, Polls, Debates & Betting Markets"
1282,"Media, Pundits, Journalists & Commentary"
1283,"Media, Pundits, Journalists & Commentary"
1284,"Congress, Senate & Lawmakers"
1285,"Crypto, Bitcoin & DOGE"
1286,"Government Officials & Cabinet (RFK, DeSantis, Newsom, etc.)"
1287,"MAGA Movement, Base & Pro-Trump Influencer Accounts"
1288,"International Affairs — Other (Asia, Europe, Global)"
1289,"2024 Election, Polls, Debates & Betting Markets"
1290,Other / Low-Signal Clusters (mixed or unclear content)
1291,Trump & Trump Family (core)
1292,Trump & Trump Family (core)
1293,"2024 Election, Polls, Debates & Betting Markets"
1294,Other / Low-Signal Clusters (mixed or unclear content)
